OTU,superkingdom,phylum,class,order,family,genus,species,speciesOTU,Comments_bob
OTU123,Eukaryota,Streptophyta,Polypodiopsida,Polypodiales,Thelypteridaceae,Thelypteridaceae family,Thelypteridaceae family,Thelypteridaceae family_94,Ferns
OTU124,Eukaryota,Streptophyta,Magnoliopsida,Apiales,Apiaceae,Apiaceae family,Apiaceae family,Apiaceae family_95,Herbacious
OTU126,Eukaryota,Streptophyta,Magnoliopsida,Myrtales,Melastomataceae,Henriettea,Henriettea squamulosa,Henriettea squamulosa_96,
OTU128,Eukaryota,Streptophyta,Bryopsida,Hypnales,Hypnales order,Hypnales order,Hypnales order,Hypnales order_97,Feather mosses
OTU129,Eukaryota,Streptophyta,Magnoliopsida,Lamiales,Lamiales order,Lamiales order,Lamiales order,Lamiales order_98,
OTU130,Eukaryota,Streptophyta,Polypodiopsida,Polypodiales,Pteridaceae,Adiantum,Adiantum genus,Adiantum genus_99,Fern
OTU139,Eukaryota,Streptophyta,Polypodiopsida,Cyatheales,Cyatheaceae,Cyatheaceae family,Cyatheaceae family,Cyatheaceae family_100,Tree fern
OTU141,Eukaryota,Streptophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Euphorbiaceae family,Euphorbiaceae family,Euphorbiaceae family_101,
OTU142,Eukaryota,Streptophyta,Magnoliopsida,Laurales,Laurales order,Laurales order,Laurales order,Laurales order_102,
OTU145,Eukaryota,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Cassia,Cassia fistula,Cassia fistula_103,Not sure if in LFDP but probably nearby
OTU150,Eukaryota,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Fabaceae family,Fabaceae family,Fabaceae family_104,
OTU151,Eukaryota,Streptophyta,Magnoliopsida,Asparagales,Orchidaceae,Orchidaceae family,Orchidaceae family,Orchidaceae family_105,
OTU153,Eukaryota,Streptophyta,Magnoliopsida,Malpighiales,Rhizophoraceae,Cassipourea,Cassipourea guianensis,Cassipourea guianensis_106,
OTU156,Eukaryota,Streptophyta,Polypodiopsida,Polypodiopsida class,Polypodiopsida class,Polypodiopsida class,Polypodiopsida class,Polypodiopsida class_107,ferns
OTU158,Eukaryota,Streptophyta,Magnoliopsida,Gentianales,Gentianales order,Gentianales order,Gentianales order,Gentianales order_108,probably herbacious
OTU160,Eukaryota,Streptophyta,Magnoliopsida,Sapindales,Sapindales order,Sapindales order,Sapindales order,Sapindales order_109,
OTU161,Eukaryota,Streptophyta,Magnoliopsida,Santalales,Viscaceae,Viscaceae family,Viscaceae family,Viscaceae family_110,Mistletoes
OTU163,Eukaryota,Streptophyta,Magnoliopsida,Magnoliopsida class,Magnoliopsida class,Magnoliopsida class,Magnoliopsida class,Magnoliopsida class_111,
OTU164,Eukaryota,Streptophyta,Magnoliopsida,Sapindales,Rutaceae,Zanthoxylum,Zanthoxylum martinicense,Zanthoxylum martinicense_112,
OTU166,Eukaryota,Streptophyta,Magnoliopsida,Malvales,Malvaceae,Malvaceae family,Malvaceae family,Malvaceae family_113,
OTU167,Eukaryota,Streptophyta,Streptophyta phylum,Streptophyta phylum,Streptophyta phylum,Streptophyta phylum,Streptophyta phylum,Streptophyta phylum_114,
OTU168,Eukaryota,Streptophyta,Polypodiopsida,Polypodiales,Nephrolepidaceae,Nephrolepis,Nephrolepis biserrata,Nephrolepis biserrata_115,Fern
OTU170,Eukaryota,Streptophyta,Magnoliopsida,Fagales,Betulaceae,Betulaceae family,Betulaceae family,Betulaceae family_116,Contamination
OTU171,Eukaryota,Streptophyta,Streptophyta phylum,Streptophyta phylum,Streptophyta phylum,Streptophyta phylum,Streptophyta phylum,Streptophyta phylum_117,
OTU172,Eukaryota,Streptophyta,Polypodiopsida,Polypodiales,Polypodiaceae,Campyloneurum,Campyloneurum fallax,Campyloneurum fallax_118,Fern
OTU174,Eukaryota,Streptophyta,Streptophyta phylum,Streptophyta phylum,Streptophyta phylum,Streptophyta phylum,Streptophyta phylum,Streptophyta phylum_119,
OTU175,Eukaryota,Streptophyta,Magnoliopsida,Sapindales,Meliaceae,Meliaceae family,Meliaceae family,Meliaceae family_120,
OTU176,Eukaryota,Streptophyta,Polypodiopsida,Polypodiales,Blechnaceae,Blechnum,Blechnum genus,Blechnum genus_121,Fern
